rank	target_slug	edge_count	in_count	is_title	is_date	example_source	example_edge_type	example_target_text
1	small-council	1	215	0	0	qyburn	MEMBER_OF	Small council
2	smallfolk	1	204	0	0	ryger-rivers	PARENT_OF	smallfolk
3	blacks	79	138	0	0	alan-beesbury	SWORN_TO	Blacks
4	greens	52	127	0	0	adrian-tarbeck	SWORN_TO	Greens
5	narrow-sea	1	120	0	0	assassination-of-tywin-lannister	DEFEATS	narrow sea
6	valyrian-steel	1	106	0	0	house-celtigar	ANCESTRAL_WEAPON_OF	Valyrian steel
7	209-ac	1	79	0	1	daeron-ii-targaryen	HEIR_TO	209 AC (track_b: Heirs)
8	others	14	76	0	0	chett	SWORN_TO	Others (track_b: Allegiances)
9	130-ac	1	71	0	1	aegon-ii-targaryen	HEIR_TO	130 AC (track_b: Heirs)
10	unsullied	17	68	0	0	black-fist	SWORN_TO	Unsullied
11	driftmark	10	68	0	0	alarra-massey	HOLDS_TITLE	Driftmark
12	red-fork	3	64	0	0	hoster-tully	BURIED_AT	Red Fork
13	northmen	261	63	0	0	alaric-stark	CULTURE_OF	Northmen
14	129-ac	1	63	0	1	aegon-ii-targaryen	HEIR_TO	129 AC (track_b: Heirs)
15	warden-of-the-north	24	62	1	0	alaric-stark	HOLDS_TITLE	Warden of the North
16	andals	3	62	0	0	argos-sevenstar	CULTURE_OF	Andals
17	house-manderly	23	61	0	0	bartimus	SWORN_TO	House Manderly
18	old-gods	1	61	0	0	seven-kingdoms	WORSHIPS	Old gods (track_b: Religion)
19	dragonpit	6	60	0	0	burning-knight	DIED_AT	Dragonpit (track_b: Died)
20	drogon	1	58	0	0	dreamfyre	PARENT_OF	Drogon (track_b: Issue)
21	master-of-coin	15	57	1	0	alton-butterwell	HOLDS_TITLE	Master of coin
22	alicent-hightower	3	57	0	0	aegon-ii-targaryen	PARENT_OF	Alicent Hightower
23	prince-of-dragonstone	21	56	1	0	aegon-iv-targaryen	HOLDS_TITLE	Prince of Dragonstone
24	maegors-holdfast	3	56	0	0	aegon-targaryen-son-of-rhaegar	DIED_AT	Maegor's Holdfast (qualifier: supposedly)
25	king-of-the-isles-and-the-north	2	56	1	0	balon-greyjoy	HOLDS_TITLE	King of the Isles and the North
26	arbor	7	55	0	0	ballabar	HOLDS_TITLE	Arbor
27	king-beyond-the-wall	6	55	0	0	bael-the-bard	HOLDS_TITLE	King-Beyond-the-Wall
