rank	target_slug	edge_count	in_count	is_title	is_date	example_source	example_edge_type	example_target_text
1	dragons	1	61	0	0	dance-of-the-dragons	DEFEATS	dragons
2	crossroads-inn	2	57	0	0	masha-heddle	DIED_AT	Crossroads inn (track_b: Died)
3	ship	2	40	0	0	allaquo	SWORN_TO	Ship
4	betrothal	1	34	0	0	lyonel-baratheons-rebellion	DEFEATS	Betrothal
5	299-ac	1	30	0	1	house-bolton	OVERLORD_OF	299 AC (track_b: Overlords)
6	the-wall	1	30	0	0	harma-dogshead	DIED_AT	The Wall (track_b: Died)
7	vale	5	29	0	0	battle-in-the-waters-off-gulltown	DEFEATS	Vale
8	joffrey-i-baratheon	2	28	0	0	robert-i-baratheon	SUCCEEDS	Joffrey I Baratheon
9	giant	1	28	0	0	wun-weg-wun-dar-wun	CULTURE_OF	Giant
10	300-ac	1	27	0	1	house-bolton	OVERLORD_OF	300 AC (track_b: Overlords)
11	moon-of-the-three-kings	1	27	0	0	riot-of-kings-landing-dance-of-the-dragons	DEFEATS	Moon of the Three Kings
12	lads	3	24	0	0	alysanne-blackwood	SWORN_TO	Lads
13	282-ac	1	24	0	1	house-baratheon	OVERLORD_OF	282 AC (track_b: Overlords)
14	kings-of-the-reach	1	20	0	0	order-of-the-green-hand	SWORN_TO	Kings of the Reach
15	dornish	15	17	0	0	alleras	CULTURE_OF	Dornish (track_b: Race)
16	king-s-landing	1	16	0	0	bramm-of-blackhull	DIED_AT	King’s Landing (track_b: Died)
17	lady-of-coldmoat	1	15	1	0	rohanne-webber	HOLDS_TITLE	Lady of Coldmoat
18	kings-men	5	14	0	0	andrew-estermont	SWORN_TO	King's men
19	house-flint	3	14	0	0	byam-flint	SWORN_TO	House Flint
20	house-fossoway	3	14	0	0	derrick-fossoway	SWORN_TO	House Fossoway
21	storm-kings	1	14	0	0	battle-of-six-kings	DEFEATS	Storm Kings
22	happy-port	6	13	0	0	assadora	SWORN_TO	Happy Port
23	iron-bank	1	10	0	0	bessaro-reyaan	SWORN_TO	Iron Bank
24	motherhouse-of-maris	1	10	0	0	jeyne-arryn	DIED_AT	Motherhouse of Maris (track_b: Died)
25	wedding-of-aegon-iii-targaryen-and-jaehaera-targaryen	1	10	0	0	dance-of-the-dragons	DEFEATS	Wedding of Aegon III Targaryen and Jaehaera Targaryen
26	lord-paramount-of-the-mander	8	9	1	0	bertrand-tyrell	HOLDS_TITLE	Lord Paramount of the Mander
27	tommen-i-baratheon	7	9	0	0	boots	OWNS	Tommen I Baratheon
28	battle-of-the-red-fork	1	9	0	0	daven-lannister	FIGHTS_IN	Battle of the Red Fork
29	lady-of-the-eyrie	1	9	1	0	jeyne-arryn	HOLDS_TITLE	Lady of the Eyrie
30	pyntos	1	9	0	0	pynto	SWORN_TO	Pynto's
31	sarnori	1	9	0	0	mazor-alexi	CULTURE_OF	Sarnori
32	battle-of-the-green-fork	1	8	0	0	bronn	FIGHTS_IN	Battle of the Green Fork
33	the-gate	1	8	0	0	izembaro	SWORN_TO	The Gate
34	yunkish	1	8	0	0	crunch	DIED_AT	Yunkish (track_b: Died)
35	battle-at-the-mander	1	7	0	0	roberts-rebellion	FIGHTS_IN	Battle at the Mander
36	battle-of-the-whispering-wood	1	7	0	0	jaime-lannister	FIGHTS_IN	Battle of the Whispering Wood
37	last-greenseer	3	6	0	0	ash	SWORN_TO	last greenseer
38	the-reach	6	5	0	0	house-ambrose	REGION_OF	The Reach
39	elephants	3	5	0	0	doniphos-paenymion	SWORN_TO	Elephants
40	battle-of-stonebridge	1	5	0	0	faith-militant-uprising	FIGHTS_IN	Battle of Stonebridge
41	free-company	1	5	0	0	howard-bullock	SWORN_TO	Free Company
42	great-hall	3	4	0	0	aerys-ii-targaryen	DIED_AT	Great Hall (track_b: Died)
43	kingdom-of-the-three-daughters	1	4	0	0	racallio-ryndoon	SWORN_TO	Kingdom of the Three Daughters
44	lannister	15	3	0	0	battle-at-the-mummers-ford	DEFEATS	Lannister
45	conflict-beyond-the-wall	6	3	0	0	attack-on-castle-black	FIGHTS_IN	Conflict beyond the Wall
46	blackfyre-rebellions	1	3	0	0	second-blackfyre-rebellion	FIGHTS_IN	Blackfyre Rebellions
47	daemon-blackfyre	1	3	0	0	house-blackfyre	FOUNDED	Daemon Blackfyre
48	lord-caswell	1	3	0	0	lady-caswell	SPOUSE_OF	Lord Caswell
49	lord-commander	1	3	0	0	mutiny-at-castle-black	DEFEATS	Lord Commander
50	lord-marshal-of-the-mander	6	2	0	0	desmond-manderly	HOLDS_TITLE	Lord Marshal of the Mander
51	aegon-vi-targaryen	1	2	0	0	varys	SWORN_TO	Aegon VI Targaryen
52	house-farwynd	1	2	0	0	triston-farwynd	SWORN_TO	House Farwynd
53	sea-watch	1	2	0	0	tristimun	MEMBER_OF	Sea watch
54	cerelle-lannister	6	1	0	0	gerold-lannister	SUCCEEDS	Cerelle Lannister
55	2-bc	3	1	0	1	house-baratheon	OVERLORD_OF	2 BC (track_b: Overlords)
56	thenn	3	1	0	0	sigorn	BORN_AT	Thenn
57	ironrath	2	1	0	0	house-forrester-telltale	SEAT_OF	Ironrath
58	aegon-ii	1	1	0	0	dance-of-the-dragons	DEFEATS	Aegon II
59	aegon-iii	1	1	0	0	dance-of-the-dragons	DEFEATS	Aegon III
60	joffrey-lydden	1	1	0	0	gerold-iii-lannister	SUCCEEDS	Joffrey Lydden
61	lady-of-runestone	1	1	1	0	rhea-royce	HOLDS_TITLE	Lady of Runestone
62	rhaenyra	1	1	0	0	dance-of-the-dragons	DEFEATS	Rhaenyra
63	unknown	321	0	0	0	addam-hightower	SPOUSE_OF	Unknown
64	the-citadel	83	0	0	0	abelon	SWORN_TO	The Citadel
65	extinct	37	0	0	0	house-amber	RULES	Extinct
66	son	31	0	0	0	alyn-tarbeck	PARENT_OF	Son
67	none	29	0	0	0	aerys-i-targaryen	PARENT_OF	None
68	sons	27	0	0	0	antario-jast	PARENT_OF	Sons
69	daughter	26	0	0	0	alysane-mormont	PARENT_OF	Daughter
70	captain	20	0	1	0	alvyn-sharp	HOLDS_TITLE	Captain
71	commander	13	0	0	0	bedwyck	HOLDS_TITLE	Commander
72	daughters	8	0	0	0	choq-choq	PARENT_OF	Daughters
