# 431 existing distinct edges touching the ned-black-cells core node-set
alyn	RESPECTS	sansa-stark	T1
alyn	SERVES	eddard-stark	T1
arrest-of-eddard-stark	CAUSES	execution-of-eddard-stark	T2
arrest-of-eddard-stark	PART_OF	war-of-the-five-kings	T2
arrest-of-eddard-stark	PRECEDES	battle-on-the-green-fork	T3
arya-stark	CONSPIRES_WITH	sansa-stark	T1
arya-stark	CONTRASTS	sansa-stark	T1
arya-stark	DISTRUSTS	sansa-stark	T1
arya-stark	FEARS	sansa-stark	T1
arya-stark	LOVES	eddard-stark	T1
arya-stark	MOURNS	eddard-stark	T1
arya-stark	MOURNS	sansa-stark	T1
arya-stark	OPPOSES	sansa-stark	T1
arya-stark	PROTECTS	eddard-stark	T1
arya-stark	RESENTS	sansa-stark	T1
arya-stark	SIBLING_OF	sansa-stark	T1
arya-stark	WITNESS_IN	execution-of-eddard-stark	T1
barbrey-dustin	RESENTS	eddard-stark	T1
barristan-selmy	RESPECTS	sansa-stark	T1
beric-dondarrion	RESPECTS	eddard-stark	T1
beric-dondarrion	SEEKS	sansa-stark	T1
beric-dondarrion	SERVES	eddard-stark	T1
beth-cassel	RESPECTS	sansa-stark	T1
bran-stark	MOURNS	eddard-stark	T1
bran-stark	MOURNS	sansa-stark	T1
bran-stark	RESPECTS	eddard-stark	T1
brella	SERVES	sansa-stark	T1
brienne-tarth	SEEKS	sansa-stark	T1
catelyn-stark	CONTRASTS	eddard-stark	T1
catelyn-stark	DISTRUSTS	varys	T1
catelyn-stark	FEARS	eddard-stark	T1
catelyn-stark	FEARS	sansa-stark	T1
catelyn-stark	FEARS	varys	T1
catelyn-stark	MOURNS	eddard-stark	T1
catelyn-stark	PARENT_OF	sansa-stark	T2
catelyn-stark	RESENTS	eddard-stark	T1
catelyn-stark	SEEKS	sansa-stark	T1
catelyn-stark	SPOUSE_OF	eddard-stark	T1
cersei-lannister	ATTACKS	eddard-stark	T1
cersei-lannister	COMMANDS	sansa-stark	T1
cersei-lannister	COMMANDS_IN	ned-confesses-to-treason	T2
cersei-lannister	DEPOSES	eddard-stark	T1
cersei-lannister	DISTRUSTS	varys	T1
cersei-lannister	FEARS	eddard-stark	T1
cersei-lannister	GUEST_OF	eddard-stark	T1
cersei-lannister	HATES	eddard-stark	T1
cersei-lannister	HATES	sansa-stark	T1
cersei-lannister	HATES	varys	T1
cersei-lannister	OPPOSES	eddard-stark	T1
cersei-lannister	PRISONER_OF	sansa-stark	T1
cersei-lannister	WITNESS_IN	execution-of-eddard-stark	T1
cersei-orders-ned-s-arrest	SUB_BEAT_OF	arrest-of-eddard-stark	T1
children-of-the-forest	GUEST_OF	sansa-stark	T1
death-of-robert-baratheon	CAUSES	arrest-of-eddard-stark	T2
desmond	GUARDS	eddard-stark	T1
dontos-hollard	COURTS	sansa-stark	T1
dontos-hollard	PROTECTS	sansa-stark	T1
dontos-hollard	RESCUES	sansa-stark	T1
dontos-hollard	RESPECTS	sansa-stark	T1
dontos-hollard	SERVES	varys	T1
eddard-stark	AGENT_IN	ned-claims-the-execution	T1
eddard-stark	AGENT_IN	ned-confesses-to-treason	T1
eddard-stark	AGENT_IN	ned-discovers-the-truth-of-joffrey-s-parentage	T1
eddard-stark	AGENT_IN	ned-kills-lady	T1
eddard-stark	AGENT_IN	ned-opposes-the-assassination	T1
eddard-stark	AGENT_IN	the-execution	T1
eddard-stark	AGENT_IN	theon-greyjoy-taken-as-ward	T1
eddard-stark	ALLIES_WITH	renly-baratheon	T1
eddard-stark	ATTENDS	the-hands-tourney	T1
eddard-stark	ATTENDS	tourney-at-harrenhal	T1
eddard-stark	BORN_AT	north	T2
eddard-stark	BORN_AT	winterfell	T2
eddard-stark	BUILT	catelyn-stark	T1
eddard-stark	COMMANDS	tomard	T1
eddard-stark	COMMANDS_IN	greyjoy-rebellion	T2
eddard-stark	COMMANDS_IN	ned-orders-daenerys-s-assassination-cancelled	T1
eddard-stark	COMMANDS_IN	ned-orders-janos-slynt-to-arrest-cersei	T1
eddard-stark	COMPANION_OF	howland-reed	T1
eddard-stark	COMPANION_OF	robert-baratheon	T1
eddard-stark	CULTURE_OF	northmen	T2
eddard-stark	DIED_AT	great-sept-of-baelor	T2
eddard-stark	DIED_AT	kings-landing	T2
eddard-stark	DISTRUSTS	ilyn-payne	T1
eddard-stark	DISTRUSTS	petyr-baelish	T1
eddard-stark	DISTRUSTS	pycelle	T1
eddard-stark	DISTRUSTS	tywin-lannister	T1
eddard-stark	DISTRUSTS	varys	T1
eddard-stark	FIGHTS_IN	battle-of-the-trident	T2
eddard-stark	FIGHTS_IN	combat-at-the-tower-of-joy	T1
eddard-stark	GUEST_OF	mountain-clans	T1
eddard-stark	GUEST_OF	pycelle	T1
eddard-stark	GUEST_OF	tobho-mott	T1
eddard-stark	HOLDS_TITLE	hand-of-the-king	T2
eddard-stark	HOLDS_TITLE	lord-of-winterfell	T2
eddard-stark	HOLDS_TITLE	lord-regent	T2
eddard-stark	HOLDS_TITLE	protector-of-the-realm	T2
eddard-stark	HOLDS_TITLE	warden-of-the-north	T2
eddard-stark	IN_LAW_OF	jon-arryn	T1
eddard-stark	KILLS	arthur-dayne	T1
eddard-stark	LOVER_OF	ashara-dayne	T1
eddard-stark	LOVES	arya-stark	T1
eddard-stark	LOVES	brandon-stark	T1
eddard-stark	MOURNS	arya-stark	T1
eddard-stark	MOURNS	catelyn-stark	T1
eddard-stark	MOURNS	jon-arryn	T1
eddard-stark	MOURNS	jory-cassel	T1
eddard-stark	MOURNS	lyanna-stark	T1
eddard-stark	MOURNS	robert-baratheon	T1
eddard-stark	MOURNS	sansa-stark	T1
eddard-stark	OPPOSES	cersei-lannister	T1
eddard-stark	OPPOSES	janos-slynt	T1
eddard-stark	OPPOSES	joffrey-baratheon	T1
eddard-stark	OPPOSES	petyr-baelish	T1
eddard-stark	OPPOSES	renly-baratheon	T1
eddard-stark	OPPOSES	robert-baratheon	T1
eddard-stark	PARENT_OF	arya-stark	T1
eddard-stark	PARENT_OF	bran-stark	T1
eddard-stark	PARENT_OF	jon-snow	T1
eddard-stark	PARENT_OF	rickon-stark	T2
eddard-stark	PARENT_OF	robb-stark	T1
eddard-stark	PARENT_OF	sansa-stark	T1
eddard-stark	PROTECTS	arya-stark	T1
eddard-stark	PROTECTS	bran-stark	T1
eddard-stark	PROTECTS	catelyn-stark	T1
eddard-stark	PROTECTS	sansa-stark	T1
eddard-stark	PROTECTS	the-liddle	T1
eddard-stark	RESENTS	robert-baratheon	T1
eddard-stark	RESPECTS	barristan-selmy	T1
eddard-stark	RESPECTS	howland-reed	T1
eddard-stark	RULES	winterfell	T2
eddard-stark	SEEKS	winterfell	T1
eddard-stark	SERVES	robert-baratheon	T1
eddard-stark	SIBLING_OF	brandon-stark	T1
eddard-stark	SPOUSE_OF	catelyn-stark	T1
